,pruning threshold,stopping probability,tile drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
156,3.55,0.005,6.0555e-06,0.01,0.375,1.2188,1.5,0.4,3.5,15.0,0.9823339999999998,Tile dropping,human-vs-human,32,2,,
157,2.9808,0.0038139,0.076707,0.021988,0.25,1.5515,0.98667,0.39098,3.3873,14.232,1.3837699999999997,Tile dropping,human-vs-human,32,3,,
158,5.85,0.001,0.1,0.01,0.5,1.6,0.80723,0.3,5.0,30.0,1.42475,Tile dropping,human-vs-human,32,4,,
159,2.8389,0.005,0.075433,0.013333,0.74284,1.3137,0.99999,0.3,3.7005,15.0,1.51052,Tile dropping,human-vs-human,32,5,,
160,3.9788,0.001,0.18353,0.011023,0.6329,0.73484,1.2245,0.35591,8.4045,36.73,1.6618600000000001,Tile dropping,human-vs-human,33,1,,
161,1.793,0.0066258,0.10544,0.016414,0.88589,0.63865,0.63865,0.41653,4.553,13.566,2.1045,Tile dropping,human-vs-human,33,2,,
162,1.8595,0.010865,0.2,0.02,0.5,1.0,0.66444,0.4786,7.0,30.0,1.6830500000000002,Tile dropping,human-vs-human,33,3,,
163,3.5988,0.005,0.2036,0.02,1.0,0.8,0.8,0.4,7.0,30.0,1.97471,Tile dropping,human-vs-human,33,4,,
164,1.0858,0.00838,0.05,0.02,0.5,0.75135,1.0,0.33333,6.0406,15.0,2.06637,Tile dropping,human-vs-human,33,5,,
165,4.23,0.0036722,0.092755,0.01775,0.25,1.2827,0.99931,0.48829,3.694,14.995,1.2628899999999998,Tile dropping,human-vs-human,34,1,,
166,3.6867,0.0015891,0.080244,0.01,0.25,1.1438,1.3333,0.3,3.5,15.0,1.6572299999999998,Tile dropping,human-vs-human,34,2,,
167,5.0249,0.001,0.049975,0.020009,0.99994,1.1874,1.0002,0.21174,2.9034,15.004,1.5151299999999999,Tile dropping,human-vs-human,34,3,,
168,3.0007,0.001,0.065251,0.021962,0.88172,1.1059,0.86632,0.31079,2.6776,29.994,1.58471,Tile dropping,human-vs-human,34,4,,
169,3.975,0.001,0.10089,0.01,0.638,1.25,1.2225,-0.025,3.375,11.0,1.5520500000000002,Tile dropping,human-vs-human,34,5,,
170,3.0708,0.001,0.071777,0.019411,0.71659,0.30061,1.3239,0.38946,3.0669,17.524,1.41227,Tile dropping,human-vs-human,35,1,,
