,stopping probability,feature drop rate,lapse rate,exploration constant,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
162,0.01,0.2,0.01,0.34377,1.0,0.8,0.7025,0.0,7.0,20.0,2.15534,MCTS,human-vs-human,33,3,,
163,0.010281,0.29444,0.016918,0.5,0.99999,0.72495,1.0,0.6,7.0,20.0,2.10138,MCTS,human-vs-human,33,4,,
164,0.0045348,0.22797,0.01,0.45737,1.0262,0.63211,0.94316,0.33766,5.1018,14.545,1.8501699999999999,MCTS,human-vs-human,33,5,,
165,0.010808,0.064249,0.01,0.41667,0.67785,1.6,1.0,0.3,2.5,15.0,1.40566,MCTS,human-vs-human,34,1,,
166,0.02,0.083333,0.01,0.368,0.5443,1.1063,1.0,0.4,2.5,21.612,1.65977,MCTS,human-vs-human,34,2,,
167,0.014875,0.1,0.017436,0.5,0.75426,1.6,1.1195,0.3,3.3333,20.961,1.7392800000000002,MCTS,human-vs-human,34,3,,
168,0.01,0.21111,0.01,0.44673,0.52816,1.2196,1.746,0.4,5.5556,34.415,1.4751800000000002,MCTS,human-vs-human,34,4,,
169,0.010369,0.11107,0.02387,0.43172,0.90101,1.0806,0.74104,0.28817,2.4647,15.164,1.69055,MCTS,human-vs-human,34,5,,
170,0.01,0.2,0.02,0.5,1.0,0.8,1.0,0.3,2.5,15.0,1.7505499999999998,MCTS,human-vs-human,35,1,,
171,0.0093563,0.21184,0.023333,0.52778,1.0,0.8,1.0506,0.6,2.8299,20.0,1.84638,MCTS,human-vs-human,35,2,,
172,0.005,0.2,0.02,0.5,1.0,0.8,1.0,0.25381,2.5,15.0,2.28681,MCTS,human-vs-human,35,3,,
173,0.01,0.11301,0.02,0.5,1.0,1.0667,1.0,0.4,2.5,15.0,1.66701,MCTS,human-vs-human,35,4,,
174,0.0048736,0.23105,0.012963,0.441,0.9941,0.80457,1.0602,0.33914,2.9839,12.914,2.14837,MCTS,human-vs-human,35,5,,
175,0.0046499,0.16667,0.031461,0.50027,0.25,1.04,1.2441,0.50045,5.0922,70.667,1.8569200000000001,MCTS,human-vs-human,36,1,,
176,0.004999,0.21127,0.01,0.60403,0.25,1.284,2.0584,0.36304,5.0015,33.326,1.51981,MCTS,human-vs-human,36,2,,
177,0.001,0.23933,0.01,0.35683,0.5,1.0,1.0,0.0,3.3333,15.0,1.8308300000000002,MCTS,human-vs-human,36,3,,
178,0.32547,0.027049,0.01,0.125,0.25,1.1947,1.5,0.625,5.875,159.91,1.52277,MCTS,human-vs-human,36,4,,
179,0.32346,0.0,0.033333,0.53135,0.25,1.0,0.87871,0.66667,3.9469,17.778,1.88645,MCTS,human-vs-human,36,5,,
180,0.04,0.2,0.03,0.6179,0.25,0.14027,0.8,1.3694,3.6937,15.0,2.84549,MCTS,human-vs-human,37,1,,
181,0.0049978,0.30016,0.029999,0.52887,0.9651,-1.0144,1.0003,0.39982,2.4995,15.002,2.4199200000000003,MCTS,human-vs-human,37,2,,
