,pruning threshold,stopping probability,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,connected 2-in-a-row drop rate,unconnected 2-in-a-row drop rate,3-in-a-row drop rate,4-in-a-row drop rate,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
93,6.7909,0.003538,0.015304,0.95659,0.83383,0.95468,0.43085,3.7085,19.146,0.21627,0.19219,0.19259,0.19198,1.36603,Type-dependent dropping,human-vs-human,19,4,,
94,4.0336,0.001,0.016667,0.67422,0.76935,0.72222,0.64774,3.5,15.0,0.3,0.24126,0.0,0.2,0.7252090000000001,Type-dependent dropping,human-vs-human,19,5,,
95,4.5578,0.001,0.027399,0.94311,0.53686,0.93499,0.25774,2.3862,14.48,0.2143,0.17399,0.22601,0.22601,1.75219,Type-dependent dropping,human-vs-human,20,1,,
96,5.0,0.010556,0.016975,0.82329,0.70298,1.0236,0.6,3.5033,30.0,0.19079,0.2,0.2,0.2,2.13837,Type-dependent dropping,human-vs-human,20,2,,
97,5.0,0.01,0.02,1.0,0.8,1.0,0.3,5.0,15.0,0.26522,0.23363,0.2,0.2,2.00638,Type-dependent dropping,human-vs-human,20,3,,
98,2.4652,0.001,0.03,0.78481,0.53333,1.0,0.5,2.5,15.0,0.2,0.2,0.2,0.0,1.97526,Type-dependent dropping,human-vs-human,20,4,,
99,3.0473,0.001,0.058365,0.65276,0.4861,1.0894,0.2996,3.3344,14.995,0.26634,0.19992,0.20024,0.19976,1.49032,Type-dependent dropping,human-vs-human,20,5,,
100,2.632,0.01,0.02,1.0,1.0893,0.8,0.28526,4.6667,20.0,0.19328,0.28173,0.2,0.2,1.52006,Type-dependent dropping,human-vs-human,21,1,,
101,10.0,0.0013303,0.01,0.5,1.3985,0.83037,0.6,4.9348,60.944,0.2,0.2,0.3,0.2,1.4726299999999999,Type-dependent dropping,human-vs-human,21,2,,
102,7.0318,0.0030222,0.017095,0.39472,1.1082,1.2078,0.18064,5.5345,15.764,0.48834,0.22732,0.20359,0.19856,1.2129499999999998,Type-dependent dropping,human-vs-human,21,3,,
103,9.2333,0.0033703,0.02467,0.39906,1.1259,1.1681,0.14403,4.9525,15.0,0.26702,0.1,0.2,0.24037,1.49571,Type-dependent dropping,human-vs-human,21,4,,
104,5.0,0.001,0.01,0.25,1.0,0.87588,0.3,2.5,56.627,0.2,0.2,0.1,0.2,1.39324,Type-dependent dropping,human-vs-human,21,5,,
105,5.7126,0.001,0.010833,0.90866,0.7717,1.224,0.29608,2.8347,15.006,0.24706,0.19913,0.31119,0.20012,2.28695,Type-dependent dropping,human-vs-human,22,1,,
106,5.5018,0.0042346,0.010319,0.53965,0.71466,1.6111,0.848,3.4568,118.76,0.27654,0.2,0.2,0.24033,1.7209800000000002,Type-dependent dropping,human-vs-human,22,2,,
107,3.0,0.0075425,0.02,0.6921,0.87629,1.0,0.28893,2.5,9.4416,0.2,0.2,0.2,0.21498,1.58048,Type-dependent dropping,human-vs-human,22,3,,
108,2.0333,0.01,0.02,0.57766,0.83594,1.5,0.10288,2.5,30.0,0.27814,0.20147,0.26667,0.0,1.74633,Type-dependent dropping,human-vs-human,22,4,,
109,5.0,0.005,0.01,1.0,0.8,1.0,0.3,2.5,15.0,0.2,0.2,0.2,0.2,1.92672,Type-dependent dropping,human-vs-human,22,5,,
110,0.2,0.014444,0.01,0.98611,0.42736,1.0,0.3,2.5,15.0,0.2,0.26992,0.26937,0.2,1.79849,Type-dependent dropping,human-vs-human,23,1,,
111,0.1,0.02,0.02,1.0,0.69329,1.0,0.3,3.1667,15.0,0.2,0.2,0.2,0.2,2.29715,Type-dependent dropping,human-vs-human,23,2,,
112,0.7023,0.02036,0.13719,0.95833,0.53333,1.0,0.3,2.5,15.0,0.2,0.2,0.2,0.2,2.25875,Type-dependent dropping,human-vs-human,23,3,,
113,2.601,0.019993,0.0291,2.0344,0.39973,0.98821,0.23298,2.5098,10.067,0.29603,0.19776,0.19258,0.17604,1.7636200000000002,Type-dependent dropping,human-vs-human,23,4,,
