,pruning threshold,stopping probability,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,horizontal feature drop rate,vertical feature drop rate,diagonal feature drop rate,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
124,5.8312,0.0064236,0.02489,0.99937,0.64366,0.66125,0.30047,2.4987,8.4274,0.20024,0.19971,0.20636,1.8418299999999999,Orientation-dependent dropping,human-vs-human,25,5,,
125,0.1,0.011667,0.03,0.5,0.8,0.99999,0.3,5.0,15.0,0.33777,0.2,0.2,1.6999,Orientation-dependent dropping,human-vs-human,26,1,,
126,5.0,0.01,0.02,0.50974,1.0,1.0,0.3,5.0,15.0,0.2,0.2,0.2,1.5463999999999998,Orientation-dependent dropping,human-vs-human,26,2,,
127,0.1,0.019995,0.021964,0.50315,0.83861,1.0001,0.40009,3.333,14.999,0.26674,0.1333,0.19995,2.1378500000000003,Orientation-dependent dropping,human-vs-human,26,3,,
128,0.1,0.0052773,0.013102,0.94208,0.76881,0.59206,0.27747,2.4393,15.277,0.29526,0.21386,0.25079,2.2052199999999997,Orientation-dependent dropping,human-vs-human,26,4,,
129,0.1,0.001,0.019954,0.75,0.89094,0.71152,0.22934,2.496,16.648,0.20091,0.19909,0.19909,2.02649,Orientation-dependent dropping,human-vs-human,26,5,,
130,10.0,0.001,0.010916,0.48512,0.88421,1.0,0.34139,2.6481,15.0,0.20286,0.29472,0.15556,1.8854599999999997,Orientation-dependent dropping,human-vs-human,27,1,,
131,6.956,0.001,0.01,0.53269,1.0869,1.574,0.63486,2.4796,16.379,0.53348,0.20017,0.19288,1.3098800000000002,Orientation-dependent dropping,human-vs-human,27,2,,
132,4.2478,0.0062827,0.015251,0.25,0.8,1.1966,0.4,3.3239,30.0,0.18775,0.25933,0.22036,1.038237,Orientation-dependent dropping,human-vs-human,27,3,,
133,7.0,0.005,0.02,1.0,1.0,1.2164,1.0,5.0,15.0,0.2,0.2,0.2,3.3366599999999997,Orientation-dependent dropping,human-vs-human,27,4,,
134,7.8465,0.001,0.01,0.30556,0.75012,0.9357,0.26577,3.7037,26.667,0.2,0.2,0.17703,2.2988000000000004,Orientation-dependent dropping,human-vs-human,27,5,,
135,7.5,0.0042138,0.01,0.5389,1.0667,1.1155,0.3,2.5,20.0,0.18032,0.52839,0.2,1.7622700000000002,Orientation-dependent dropping,human-vs-human,28,1,,
136,8.0012,0.001,0.01,1.1669,0.79972,1.0,0.2998,2.4995,30.002,0.19988,0.10006,0.16088,1.7520399999999998,Orientation-dependent dropping,human-vs-human,28,2,,
137,7.0,0.001,0.016667,0.98997,1.0667,0.94493,0.11066,3.5,10.0,0.2,0.19408,0.13333,1.002168,Orientation-dependent dropping,human-vs-human,28,3,,
138,8.975,0.0069345,0.012693,1.4375,1.5,0.22969,0.625,3.375,19.0,0.0,0.4,0.0,2.00379,Orientation-dependent dropping,human-vs-human,28,4,,
139,9.26,0.0082439,0.020617,2.0,1.0667,0.63719,0.6,3.5277,15.0,0.2,0.2,0.1923,1.5590699999999997,Orientation-dependent dropping,human-vs-human,28,5,,
140,2.9776,0.0073909,0.014892,0.87317,-0.069438,1.1449,0.20578,2.7537,16.16,0.25798,0.11835,0.25798,2.60277,Orientation-dependent dropping,human-vs-human,29,1,,
141,10.0,0.02,0.04,1.5,0.8,0.59262,0.5,2.5,-48.642,0.16667,0.2,0.21996,2.5451899999999994,Orientation-dependent dropping,human-vs-human,29,2,,
142,0.73015,0.04,0.023321,0.25,-0.10112,0.87463,0.6,3.3333,15.0,0.3,0.2,0.2,2.5160299999999998,Orientation-dependent dropping,human-vs-human,29,3,,
143,3.0,0.005,0.02,1.0,0.4,0.8,0.5,1.5,15.0,0.2,0.3,0.2,2.6561000000000003,Orientation-dependent dropping,human-vs-human,29,4,,
144,3.0,0.01037,0.02,1.1667,0.47256,0.78862,0.6,2.0676,30.0,0.38889,0.18609,0.2,2.48534,Orientation-dependent dropping,human-vs-human,29,5,,
145,7.7054,0.0051359,0.030548,1.3922,0.22307,0.85832,0.34893,4.1558,13.013,0.47567,0.38737,0.4757,1.73994,Orientation-dependent dropping,human-vs-human,30,1,,
