,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
243,5.328,0.009198,0.27772,0.01,1.135,1.86366,Optimal weights,generalization,9,4,,
244,4.9,0.01,0.25354,0.02,1.135,2.06309,Optimal weights,generalization,9,5,,
245,2.5042,0.99999,0.3,0.02,2.7241,2.4877399999999996,Optimal weights,generalization,10,1,,
246,4.6577,0.0066309,0.27831,0.04,3.3817,2.19197,Optimal weights,generalization,10,2,,
247,0.1,0.011824,0.42247,0.063941,3.1862,1.7940099999999997,Optimal weights,generalization,10,3,,
248,8.975,0.001,0.65207,0.01,1.9526,2.16889,Optimal weights,generalization,10,4,,
249,5.8974,0.0082525,0.40808,0.01,1.9764,1.9226800000000002,Optimal weights,generalization,10,5,,
250,5.2778,0.010324,0.36499,0.01,2.7241,2.5693500000000005,Optimal weights,generalization,11,1,,
251,3.296,0.028398,0.56145,0.01558,1.9017,2.1390000000000002,Optimal weights,generalization,11,2,,
252,3.0,0.001,0.523,0.04,1.8896,2.41099,Optimal weights,generalization,11,3,,
253,3.2399,0.02,0.4,0.015,1.5813,2.6265,Optimal weights,generalization,11,4,,
254,3.8534,0.001,0.70103,0.030532,2.0232,2.24496,Optimal weights,generalization,11,5,,
255,7.5713,0.005,0.41803,0.01,4.3317,2.00198,Optimal weights,generalization,12,1,,
256,2.1712,0.021609,0.2182,0.033836,1.4893,1.9400400000000004,Optimal weights,generalization,12,2,,
257,3.7777,0.001,0.34002,0.021507,2.2607,1.9935500000000002,Optimal weights,generalization,12,3,,
258,3.0899,0.01,0.2,0.03,1.9827,1.9512700000000003,Optimal weights,generalization,12,4,,
259,2.656,0.0069809,0.26922,0.02273,1.6545,2.0501899999999997,Optimal weights,generalization,12,5,,
260,2.2757,0.020968,0.17879,0.014444,1.2747,1.57657,Optimal weights,generalization,13,1,,
261,7.6392,0.015,0.2,0.02,1.135,2.24067,Optimal weights,generalization,13,2,,
262,5.0,0.01,0.2,0.02,1.362,2.0664,Optimal weights,generalization,13,3,,
263,7.0,0.01,0.28426,0.016667,2.9475,2.1589400000000003,Optimal weights,generalization,13,4,,
264,2.55,0.001,0.2,0.020383,1.3621,1.5995500000000002,Optimal weights,generalization,13,5,,
