,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
146,0.0,0.045144,0.25,0.11243,1.093,0.42149,2.4716,12.352,2.4044999999999996,No tree,human-vs-human,30,2,,
147,0.25933,0.032087,0.25,0.53333,1.6,1.6829,1.5,40.0,2.2806699999999998,No tree,human-vs-human,30,3,,
148,0.17713,0.016336,0.26384,0.27798,1.1955,1.3561,4.1578,-47.84,2.335,No tree,human-vs-human,30,4,,
149,0.25,0.03,0.25,0.4,1.3333,1.593,5.0,30.0,2.01737,No tree,human-vs-human,30,5,,
150,0.063954,0.018237,0.50166,0.82501,0.97222,0.28346,5.0236,-57.846,1.56507,No tree,human-vs-human,31,1,,
151,0.31009,0.01893,0.50029,1.1647,1.1937,0.27287,6.6858,16.117,1.69589,No tree,human-vs-human,31,2,,
152,0.087206,0.04,0.5,1.0,1.0,0.91154,4.6667,20.0,1.72496,No tree,human-vs-human,31,3,,
153,0.020454,0.02303,0.54061,0.50914,1.0398,0.32015,4.757,3.2435,1.5244900000000001,No tree,human-vs-human,31,4,,
154,0.13071,0.014471,0.45621,0.7454,1.4803,0.86026,8.0808,-9.1904,1.4194,No tree,human-vs-human,31,5,,
155,0.0,0.02,0.49854,1.0419,0.8,0.5,4.8902,-585.0,1.5715400000000002,No tree,human-vs-human,32,1,,
156,0.0,0.01,0.43254,1.1017,1.0603,0.86503,4.516,-32.578,1.0187760000000001,No tree,human-vs-human,32,2,,
157,0.0,0.01,0.5,1.2047,0.93568,0.33177,3.5,20.0,1.5931000000000002,No tree,human-vs-human,32,3,,
158,0.032344,0.021532,0.46171,1.244,0.75042,0.90518,4.7352,-15872.0,1.335,No tree,human-vs-human,32,4,,
159,0.1368,0.010289,0.37489,1.3167,0.74333,0.47717,5.257,-39.628,1.38655,No tree,human-vs-human,32,5,,
160,0.12006,0.023914,0.74043,0.58562,0.88078,0.41066,3.8857,10.938,1.7921,No tree,human-vs-human,33,1,,
161,0.10483,0.01,0.6757,0.93821,1.041,0.79272,7.399,-67.308,2.1163000000000003,No tree,human-vs-human,33,2,,
162,0.3449,0.019153,0.85951,0.81476,0.9928,0.40504,4.6871,-53.138,1.8513099999999998,No tree,human-vs-human,33,3,,
163,0.3,0.01,1.0,0.59304,1.0,0.98712,4.6667,15.0,2.03123,No tree,human-vs-human,33,4,,
164,0.05,0.022437,0.48611,0.90119,0.93333,0.3967,6.6667,-180.0,2.15018,No tree,human-vs-human,33,5,,
165,0.094525,0.01,0.34667,0.97332,0.97332,0.20449,4.6066,19.72,1.2738200000000002,No tree,human-vs-human,34,1,,
166,0.0,0.010833,0.4331,0.93856,1.1684,0.6,4.5821,-75.158,1.60204,No tree,human-vs-human,34,2,,
167,0.0,0.020046,0.41019,0.79792,0.99769,0.29927,3.4948,-99.884,1.6326,No tree,human-vs-human,34,3,,
168,0.034356,0.041042,0.41704,0.93988,1.3925,0.38103,5.3349,9.5613,1.6932099999999999,No tree,human-vs-human,34,4,,
169,0.0,0.01,0.38226,0.82615,1.0291,0.28679,3.5654,-985.46,1.56222,No tree,human-vs-human,34,5,,
170,0.2,0.02,1.0,0.58424,0.8,0.3,2.5,15.0,1.74693,No tree,human-vs-human,35,1,,
171,0.3,0.01,1.0,0.65692,1.0,0.5,2.5,15.0,1.8671699999999998,No tree,human-vs-human,35,2,,
172,0.22329,0.025202,0.83806,0.35599,1.1325,0.53878,2.833,22.463,2.28967,No tree,human-vs-human,35,3,,
173,0.13064,0.011209,0.7212,0.51324,1.0868,0.50711,3.0576,32.467,1.7275200000000002,No tree,human-vs-human,35,4,,
174,0.28691,0.02,0.875,0.8,1.0,0.6,2.5274,15.0,1.9411599999999996,No tree,human-vs-human,35,5,,
175,0.2612,0.01,0.29167,0.8,2.0,-6.0555e-06,4.6667,20.0,2.01992,No tree,human-vs-human,36,1,,
176,0.17127,0.020939,0.25,1.0954,1.3792,0.29685,5.0602,128.83,1.4265,No tree,human-vs-human,36,2,,
177,0.0,0.02,0.25,0.9443,0.88982,0.33333,3.5,-45.799,1.63837,No tree,human-vs-human,36,3,,
178,0.10013,0.034867,0.25,0.60334,1.1986,0.60173,5.3425,14.979,1.6522199999999998,No tree,human-vs-human,36,4,,
179,0.12668,0.02,0.25,1.0,0.89218,0.66667,3.3333,15.0,1.9025100000000001,No tree,human-vs-human,36,5,,
180,0.12613,0.042073,0.34691,0.27254,1.1735,1.1014,3.8594,12.585,2.7349500000000004,No tree,human-vs-human,37,1,,
181,0.17858,0.030177,0.49542,-0.339,1.3136,0.9852,3.5444,-68.015,2.1365600000000002,No tree,human-vs-human,37,2,,
182,0.28511,0.14811,0.50031,-1.5009,1.9763,1.0193,5.7161,3.9996,2.0510300000000004,No tree,human-vs-human,37,3,,
183,0.3,0.035,0.46231,0.18102,1.0667,1.0,5.0,180.0,2.2684699999999998,No tree,human-vs-human,37,4,,
184,0.0,0.13842,0.41667,-0.2945,1.5,1.0871,4.7403,15.0,2.3481899999999998,No tree,human-vs-human,37,5,,
185,0.11241,0.015,0.55354,-0.55857,0.18365,0.83596,2.5595,28.0,2.09743,No tree,human-vs-human,38,1,,
186,0.17412,0.020121,0.3904,-0.31138,0.50517,1.0099,3.8738,12.719,2.3676299999999997,No tree,human-vs-human,38,2,,
187,0.3,0.035,0.25,0.16234,0.8,0.4,3.5,10.0,3.0484400000000003,No tree,human-vs-human,38,3,,
188,0.10887,0.031701,0.48277,-0.35436,0.48853,1.4214,5.0219,-43.603,2.6779599999999997,No tree,human-vs-human,38,4,,
189,0.29712,0.03524,0.52214,-0.37381,0.28934,0.93572,3.3417,180.04,1.8577000000000001,No tree,human-vs-human,38,5,,
190,0.17837,0.01,0.5002,0.63095,1.0,0.32249,3.4156,-61.914,2.42446,No tree,human-vs-human,39,1,,
191,0.3,0.02,1.0,0.8,1.0,1.2413,2.5,15.0,1.9122299999999999,No tree,human-vs-human,39,2,,
192,0.21277,0.020252,0.62125,0.87754,0.98739,0.30079,3.3554,29.899,1.8025000000000002,No tree,human-vs-human,39,3,,
193,0.0,0.011945,0.48163,0.70269,1.111,0.67215,3.1391,3.0258,2.3137999999999996,No tree,human-vs-human,39,4,,
194,0.0,0.01,0.49351,0.24089,1.1769,0.97761,4.1989,12.574,1.5921600000000002,No tree,human-vs-human,39,5,,
195,0.1,0.01,0.5,0.70275,0.95277,0.3,2.5,15.0,1.71811,No tree,human-vs-human,40,1,,
196,0.19552,0.016667,0.50939,0.68825,1.5,0.6,2.5,11.829,1.6934,No tree,human-vs-human,40,2,,
197,0.12993,0.01,0.64413,0.5449,1.2835,0.48424,2.996,17.267,2.2372199999999998,No tree,human-vs-human,40,3,,
198,0.1,0.02,0.5,0.4,1.0,0.0,2.5,15.0,2.21958,No tree,human-vs-human,40,4,,
199,0.0,0.015,0.44289,0.69868,1.0,0.3,2.5,15.0,1.4953400000000001,No tree,human-vs-human,40,5,,
200,0.36966,0.01,0.99126,1.1411,1.1499,0.19399,3.5,30.0,1.89481,No tree,generalization,1,1,,
